"","week_nr","cust","choice","hyperfinalprice","hyperregprice","hyperdiscount","hyperfinalpricegain","hyperfinalpriceloss","hyperregpricegain","hyperregpriceloss","hyperdiscountgain","hyperdiscountloss","superfinalprice","superregprice","superdiscount","superfinalpricegain","superfinalpriceloss","superregpricegain","superregpriceloss","superdiscountgain","superdiscountloss","convefinalprice","converegprice","convediscount","convefinalpricegain","convefinalpriceloss","converegpricegain","converegpriceloss","convediscountgain","convediscountloss","idx.1","idx.2","chid","brand_alt","brand_focal","loyal_Focal","loyal_Nonfocal","sup_share","hyper_share","conve_share","Nonfocal_intercept","Focal_intercept","loyal_nonfocal"
"1",  1,"104",0,10.832386,20.517590, 9.6852042,8.441153e+00,0.000000e+00,8.441153e+00,0.000000e+00, 6.469425402, 0.000000000, 3.786934,17.843846,14.056912,8.441153e+00,0.000000e+00,8.441153e+00,0.000000e+00, 6.469425402, 0.000000000,13.576153,25.862355,12.2862012,8.441153e+00,0.000000e+00,8.441153e+00,0.000000e+00, 6.469425402, 0.000000000,2237,Focal,2237,"Focal","Nonfocal",0.00,1.00,0.00000000,0.00000000,0.00000000,0,1,0.00
"2",  1,"104",1,10.769696,29.505327,18.7356311,1.025672e+01,0.000000e+00,1.025672e+01,0.000000e+00, 8.237090221, 0.000000000,20.413377,30.647618,10.234241,1.025672e+01,0.000000e+00,1.025672e+01,0.000000e+00, 8.237090221, 0.000000000,17.020199,23.465220, 6.4450210,1.025672e+01,0.000000e+00,1.025672e+01,0.000000e+00, 8.237090221, 0.000000000,2237,Nonfocal,2237,"Nonfocal","Nonfocal",0.00,1.00,0.00000000,0.00000000,0.00000000,1,0,1.00
"3",  1,"11",0,10.832386,20.517590, 9.6852042,0.000000e+00,3.235445e+01,0.000000e+00,3.235445e+01, 0.000000000,16.617868139, 3.786934,17.843846,14.056912,0.000000e+00,3.235445e+01,0.000000e+00,3.235445e+01, 0.000000000,16.617868139,13.576153,25.862355,12.2862012,0.000000e+00,3.235445e+01,0.000000e+00,3.235445e+01, 0.000000000,16.617868139, 204,Focal, 204,"Focal","Nonfocal",0.00,1.00,0.00000000,0.00000000,0.00000000,0,1,0.00
"4",  1,"11",1,10.769696,29.505327,18.7356311,1.269065e+01,0.000000e+00,1.269065e+01,0.000000e+00,10.641306554, 0.000000000,20.413377,30.647618,10.234241,1.269065e+01,0.000000e+00,1.269065e+01,0.000000e+00,10.641306554, 0.000000000,17.020199,23.465220, 6.4450210,1.269065e+01,0.000000e+00,1.269065e+01,0.000000e+00,10.641306554, 0.000000000, 204,Nonfocal, 204,"Nonfocal","Nonfocal",0.00,1.00,0.00000000,0.00000000,0.00000000,1,0,1.00
"5",  1,"114",0,10.832386,20.517590, 9.6852042,0.000000e+00,2.416715e+00,0.000000e+00,2.416715e+00, 1.181767168, 0.000000000, 3.786934,17.843846,14.056912,0.000000e+00,2.416715e+00,0.000000e+00,2.416715e+00, 1.181767168, 0.000000000,13.576153,25.862355,12.2862012,0.000000e+00,2.416715e+00,0.000000e+00,2.416715e+00, 1.181767168, 0.000000000,2465,Focal,2465,"Focal","Nonfocal",0.89,0.11,0.00000000,0.00000000,0.00000000,0,1,0.89
"6",  1,"114",1,10.769696,29.505327,18.7356311,6.453832e+00,0.000000e+00,6.453832e+00,0.000000e+00,10.227005330, 0.000000000,20.413377,30.647618,10.234241,6.453832e+00,0.000000e+00,6.453832e+00,0.000000e+00,10.227005330, 0.000000000,17.020199,23.465220, 6.4450210,6.453832e+00,0.000000e+00,6.453832e+00,0.000000e+00,10.227005330, 0.000000000,2465,Nonfocal,2465,"Nonfocal","Nonfocal",0.89,0.11,0.00000000,0.00000000,0.00000000,1,0,0.11
"7",  1,"116",0,10.832386,20.517590, 9.6852042,0.000000e+00,8.489670e+00,0.000000e+00,8.489670e+00, 8.989851968, 0.000000000, 3.786934,17.843846,14.056912,0.000000e+00,8.489670e+00,0.000000e+00,8.489670e+00, 8.989851968, 0.000000000,13.576153,25.862355,12.2862012,0.000000e+00,8.489670e+00,0.000000e+00,8.489670e+00, 8.989851968, 0.000000000,2507,Focal,2507,"Focal","Nonfocal",0.00,1.00,0.00000000,0.00000000,0.00000000,0,1,0.00
"8",  1,"116",1,10.769696,29.505327,18.7356311,1.029190e+01,0.000000e+00,1.029190e+01,0.000000e+00, 0.775066574, 0.000000000,20.413377,30.647618,10.234241,1.029190e+01,0.000000e+00,1.029190e+01,0.000000e+00, 0.775066574, 0.000000000,17.020199,23.465220, 6.4450210,1.029190e+01,0.000000e+00,1.029190e+01,0.000000e+00, 0.775066574, 0.000000000,2507,Nonfocal,2507,"Nonfocal","Nonfocal",0.00,1.00,0.00000000,0.00000000,0.00000000,1,0,1.00
"9",  1,"117",1,10.832386,20.517590, 9.6852042,0.000000e+00,7.022652e+00,0.000000e+00,7.022652e+00, 0.500846151, 0.000000000, 3.786934,17.843846,14.056912,0.000000e+00,7.022652e+00,0.000000e+00,7.022652e+00, 0.500846151, 0.000000000,13.576153,25.862355,12.2862012,0.000000e+00,7.022652e+00,0.000000e+00,7.022652e+00, 0.500846151, 0.000000000,2524,Focal,2524,"Focal","Focal",0.11,0.89,0.00000000,0.00000000,0.00000000,0,1,0.11
"10",  1,"117",0,10.769696,29.505327,18.7356311,5.724120e+00,0.000000e+00,5.724120e+00,0.000000e+00, 9.583822280, 0.000000000,20.413377,30.647618,10.234241,5.724120e+00,0.000000e+00,5.724120e+00,0.000000e+00, 9.583822280, 0.000000000,17.020199,23.465220, 6.4450210,5.724120e+00,0.000000e+00,5.724120e+00,0.000000e+00, 9.583822280, 0.000000000,2524,Nonfocal,2524,"Nonfocal","Focal",0.11,0.89,0.00000000,0.00000000,0.00000000,1,0,0.89
