"","week_nr","holiday","brand","format","totalvolume","totalvalue","LL","avgregprice","avgfinalprice","avgdiscount","depth","nondepth","cop_logavgregprice","cop_logavgdiscount","cop_logavgfinalprice","cop_lognondepth","avgcompLL","avgcompregprice","avgcompfinalprice","avgcompdiscount","totalvolume1","avgfinalprice1","avgregprice1","nondepth1","avgcompfinalprice1","dlogtotalvolume","dlogavgfinalprice","dlogavgregprice","dlognondepth","dlogavgcompfinalprice","dlogavgfinalprice_loss","dlogavgfinalprice_gain","dlogavgregprice_loss","dlogavgregprice_gain","dlognondepth_loss","dlognondepth_gain"
"1",2,0,"A","convenience",4,36.0907140093782,2,13.6409839766566,9.02267850234455,4.61830547431203,0.338561021859948,0.661438978140052,-1.00208673664005,-0.852096410749962,-0.590665563873107,0.404110604979703,4.13636363636364,24.9693621870194,14.0143209984128,10.9550411886066,5,17.905361737764,23.5758578069508,0.759478695722582,14.317515964017,-0.22314355131421,-0.685358964943997,-0.547144425290027,-0.13821453965397,-0.0214039450470476,0,-0.685358964943997,0,-0.547144425290027,0,-0.13821453965397
"2",2,0,"A","hypermarket",6,24.7408202147464,3,10.5787967186188,4.12347003579107,6.45532668282777,0.610213699585162,0.389786300414838,-1.58961266223253,-0.478065752964832,-1.73508889577708,-0.860897672118606,4.13636363636364,24.9693621870194,14.0143209984128,10.9550411886066,7,14.7231371830554,25.8223339088727,0.570170660599987,14.317515964017,-0.154150679827258,-1.27272516387015,-0.892388084584032,-0.380337079286123,-0.0214039450470476,0,-1.27272516387015,0,-0.892388084584032,0,-0.380337079286123
"3",2,0,"A","supermarket",7,127.558530029028,5,29.1590279147827,18.222647147004,10.9363807677787,0.375059854523966,0.624940145476034,0.358198663696788,0.21198749736585,0.569019265616728,0.187100917864167,4.13636363636364,24.9693621870194,14.0143209984128,10.9550411886066,7,19.1338076623962,29.0909051642354,0.657724727174164,14.317515964017,0,-0.0487916358086995,0.00233898231307084,-0.0511306181217706,-0.0214039450470476,0,-0.0487916358086995,0.00233898231307084,0,0,-0.0511306181217706
"4",3,1,"A","convenience",3,48.4902843160936,2,22.7652212546673,16.1634281053645,6.60179314930273,0.289994684235684,0.710005315764316,-0.0396529285844665,-0.444149768164095,0.345222629722377,0.727118633914366,2.51282051282051,28.3098407228513,14.3448461597238,13.9649945631275,4,9.02267850234455,13.6409839766566,0.661438978140052,14.0143209984128,-0.287682072451781,0.583009924355799,0.512155198946728,0.0708547254090707,0.0233109898238708,0.583009924355799,0,0.512155198946728,0,0.0708547254090707,0
"5",3,1,"A","hypermarket",7,106.193079190254,5,31.7379384403051,15.170439884322,16.567498555983,0.522009285106666,0.477990714893334,0.583419839175418,0.77564909445823,0.218229105959092,-0.491785417737352,2.51282051282051,28.3098407228513,14.3448461597238,13.9649945631275,6,4.12347003579107,10.5787967186188,0.389786300414838,14.0143209984128,0.154150679827258,1.30265373935718,1.09866107325499,0.203992666102193,0.0233109898238708,1.30265373935718,0,1.09866107325499,0,0.203992666102193,0
"6",3,1,"A","supermarket",2,47.2432127890059,2,47.0758328953525,23.621606394503,23.4542265008496,0.498222231202733,0.501777768797267,1.0753044538499,1.20368730121138,1.1313506292765,-0.37777720735861,2.51282051282051,28.3098407228513,14.3448461597238,13.9649945631275,7,18.222647147004,29.1590279147827,0.624940145476034,14.0143209984128,-1.25276296849537,0.259496649125798,0.478995197001933,-0.219498547876134,0.0233109898238708,0.259496649125798,0,0.478995197001933,0,0,-0.219498547876134
"7",4,0,"A","convenience",1,22.1748368394946,1,59.6925405599177,22.1748368394946,37.5177037204231,0.628515780506341,0.371484219493659,5.19933758229066,1.89272717498161,1.00208673664005,-0.952916057743952,3.46511627906977,32.7959291168846,17.7754167945794,15.0205123223052,3,16.1634281053645,22.7652212546673,0.710005315764316,14.3448461597238,-1.09861228866811,0.316207004481976,0.963973076035499,-0.647766071553523,0.214425698710906,0.316207004481976,0,0.963973076035499,0,0,-0.647766071553523
"8",4,0,"A","hypermarket",3,57.0695873354196,2,29.5650044083595,19.0231957784732,10.5418086298863,0.35656374287249,0.64343625712751,0.404110604979703,0.162329698622525,0.68024338621207,0.262173934554864,3.46511627906977,32.7959291168846,17.7754167945794,15.0205123223052,7,15.170439884322,31.7379384403051,0.477990714893334,14.3448461597238,-0.847297860387203,0.22631027507591,-0.0709213831374984,0.297231658213408,0.214425698710906,0.22631027507591,0,0,-0.0709213831374984,0.297231658213408,0
"9",4,0,"A","supermarket",7,114.340818061202,5,30.9765137474252,16.3344025801717,14.6421111672536,0.472684282248212,0.527315717751788,0.554735740839413,0.590665563873107,0.37123529457812,-0.205754136481758,3.46511627906977,32.7959291168846,17.7754167945794,15.0205123223052,2,23.621606394503,47.0758328953525,0.501777768797267,14.3448461597238,1.25276296849537,-0.368888346992819,-0.418530471036509,0.0496421240436895,0.214425698710906,0,-0.368888346992819,0,-0.418530471036509,0.0496421240436895,0
"10",5,1,"A","convenience",4,42.4856065116181,2,14.9170705143478,10.6214016279045,4.29566888644331,0.287970006061952,0.712029993938048,-0.817530539431769,-0.915179654657855,-0.300245019433301,0.75116270105806,2.52173913043478,29.796663099829,16.5457730799562,13.2508900198728,1,22.1748368394946,59.6925405599177,0.371484219493659,17.7754167945794,1.38629436111989,-0.736087183176512,-1.38670083457288,0.650613651396366,-0.0716857575949241,0,-0.736087183176512,0,-1.38670083457288,0.650613651396366,0
"11",5,1,"A","hypermarket",9,88.9802635053508,5,16.6195500358784,9.88669594503897,6.73285409083942,0.405116508949069,0.594883491050931,-0.65736087106186,-0.410737254021205,-0.437428682593049,0.0396529285844666,2.52173913043478,29.796663099829,16.5457730799562,13.2508900198728,3,19.0231957784732,29.5650044083595,0.64343625712751,17.7754167945794,1.09861228866811,-0.654469055567822,-0.576011662972879,-0.0784573925949428,-0.0716857575949241,0,-0.654469055567822,0,-0.576011662972879,0,-0.0784573925949428
"12",5,1,"A","supermarket",2,8.0813524903135,1,19.707718990976,4.04067624515675,15.6670427458193,0.794969867034996,0.205030132965004,-0.332304466738113,0.68024338621207,-1.76324675775739,-1.85735727602887,2.52173913043478,29.796663099829,16.5457730799562,13.2508900198728,7,16.3344025801717,30.9765137474252,0.527315717751788,17.7754167945794,-1.25276296849537,-1.39686140601159,-0.452218910341575,-0.944642495670018,-0.0716857575949241,0,-1.39686140601159,0,-0.452218910341575,0,-0.944642495670018
