"","week_nr","cust","brand","format","category","regprice","discount","quantity","holiday"
"1",1,93,"E","supermarket","z",31.1506415333133,19.3007028803167,2,0
"2",1,161,"C","convenience","z",23.7954829121009,6.89562336211055,2,0
"3",1,122,"E","supermarket","z",24.2191517609172,14.0051351102019,2,0
"4",1,238,"A","hypermarket","z",37.6407858717721,8.70025166926149,2,0
"5",1,222,"E","supermarket","z",38.419894563267,5.12137726419387,2,0
"6",1,33,"C","hypermarket","z",54.7900273685809,45.4211119959604,1,0
"7",1,152,"B","supermarket","z",40.2007188030984,27.7604636951736,1,0
"8",1,209,"C","hypermarket","z",52.8571589675266,30.4324975384486,1,0
"9",1,76,"A","hypermarket","z",17.9254464176483,4.07151163031951,2,0
"10",1,181,"E","supermarket","z",32.0649878529366,21.9436776005065,2,0
"11",1,137,"C","hypermarket","z",43.0650034162682,14.2463969965989,1,0
"12",1,39,"D","supermarket","z",58.938841377385,8.78932933116904,1,0
"13",1,148,"B","supermarket","z",45.4256405797787,38.9084949081216,1,0
"14",1,32,"B","convenience","z",27.3270021378994,8.47074547341995,2,0
"15",1,287,"D","hypermarket","z",15.668782236753,10.3971103270562,2,0
"16",1,262,"E","supermarket","z",27.5425091874786,20.8210191317498,2,0
"17",1,71,"A","hypermarket","z",18.9604649750981,11.274787912605,2,0
"18",1,292,"A","supermarket","z",42.5062270474155,24.1725456783869,1,0
"19",1,100,"A","convenience","z",44.8728702741209,27.4248534054001,1,0
"20",1,258,"E","supermarket","z",32.9284200933762,23.5901854102228,2,0
"21",1,132,"B","convenience","z",59.1672181058675,51.5481921821893,1,0
"22",1,246,"A","hypermarket","z",41.6969678644091,30.3630736742099,1,0
"23",1,138,"D","convenience","z",33.1632466439623,22.5198731426204,2,0
"24",1,297,"C","supermarket","z",40.2428905887064,9.13936480894054,1,0
"25",1,27,"A","supermarket","z",19.8813148553018,4.03866621720767,2,0
"26",1,235,"C","convenience","z",56.5981593041215,22.9786965057902,1,0
"27",1,77,"E","supermarket","z",56.754881227389,12.4320778790409,1,0
"28",1,19,"D","convenience","z",24.5271735219285,19.520005330649,2,0
"29",1,214,"B","convenience","z",20.177262914367,1.21230336817001,2,0
"30",1,92,"C","convenience","z",59.3100579630118,35.8622409892959,1,0
"31",1,69,"B","supermarket","z",53.8609543803614,18.0565806711919,1,0
"32",1,59,"C","hypermarket","z",17.3986551293638,2.72067985111381,2,0
"33",1,112,"A","supermarket","z",55.2443718456198,31.7249232472407,1,0
"34",1,12,"E","supermarket","z",43.6778125085402,12.5745567580746,1,0
"35",1,299,"B","convenience","z",55.1517297083046,45.1921709873483,1,0
"36",1,277,"E","supermarket","z",38.2895904080942,0.982308823197369,2,0
"37",1,104,"A","convenience","z",36.6158944345079,14.2411541283049,2,0
"38",1,174,"D","supermarket","z",16.2312777189072,1.61222287147666,2,0
"39",1,191,"D","hypermarket","z",31.107348856749,25.8513677134919,2,0
"40",1,290,"E","hypermarket","z",59.750182897551,52.191932249115,1,0
"41",1,300,"E","hypermarket","z",38.1882522662636,3.25732739362757,2,0
"42",1,188,"C","supermarket","z",30.0583962234668,1.3286412205177,2,0
